# INL run# wait_settle = 20# samples_per_meter_per_step = 1# NPLC = 317vref,3458A_volt,3458B_volt,F8508_volt
-10.25,-10.25002924,-10.25005801,-10.2500343
-10.0,-10.00002872,-10.00005681,-10.0000339
-9.75,-9.750027898,-9.750056203,-9.7500325
-9.5,-9.500027641,-9.500055219,-9.5000317
-9.25,-9.250027,-9.250054527,-9.2500315
-9.0,-9.000025269,-9.000053499,-9.0000293
-8.75,-8.750024585,-8.750052368,-8.7500289
-8.5,-8.500023944,-8.500051281,-8.5000281
-8.25,-8.250023598,-8.250050355,-8.2500284
-8.0,-8.000023238,-8.000049239,-8.0000267
-7.75,-7.750021934,-7.750047536,-7.7500258
-7.5,-7.500021411,-7.500046493,-7.5000249
-7.25,-7.250021316,-7.250045582,-7.2500237
-7.0,-7.000020793,-7.000044612,-7.0000241
-6.75,-6.75002002,-6.750043643,-6.7500226
-6.5,-6.500019615,-6.500042263,-6.5000224
-6.25,-6.250018651,-6.250040882,-6.2500209
-6.0,-6.000017671,-6.00004003,-6.000021
-5.75,-5.750016986,-5.750039427,-5.7500203
-5.5,-5.500015978,-5.500038032,-5.5000198
-5.25,-5.250015808,-5.250037487,-5.2500185
-5.0,-5.000014019,-5.000035579,-5.0000168
-4.75,-4.750013673,-4.750034419,-4.7500157
-4.5,-4.500013194,-4.500033464,-4.5000162
-4.25,-4.250012583,-4.250032421,-4.2500148
-4.0,-4.000011958,-4.000031246,-4.0000139
-3.75,-3.750010919,-3.7500301,-3.7500134
-3.5,-3.500010146,-3.500028999,-3.5000123
-3.25,-3.250009609,-3.250028044,-3.250011
-3.0,-3.000008865,-3.000026957,-3.0000108
-2.75,-2.750007915,-2.750025811,-2.7500099
-2.5,-2.500007334,-2.5000249,-2.5000098
-2.25,-2.250006045,-2.2500233,-2.2500088
-2.0,-2.000005611,-2.000022169,-2.0000079
-1.75,-1.750004808,-1.750021141,-1.7500075
-1.5,-1.500004123,-1.500020024,-1.5000064
-1.25,-1.250003453,-1.250019084,-1.2500055
-1.0,-1.000002533,-1.000018099,-1.0000043
-0.75,-0.750002069,-0.7500169245,-0.7500036
-0.5,-0.5000012075,-0.5000156469,-0.5000028
-0.25,-0.2500004932,-0.2500141055,-0.2500014
0.0,3.977224933e-07,-1.260796608e-05,-1.1e-06
0.25,0.2500015391,0.2499887722,0.2500002
0.5,0.5000024448,0.4999897273,0.5000016
0.75,0.7500030264,0.7499909169,0.750002
1.0,1.000003903,0.9999920332,1.000003
1.25,1.250004543,1.249993047,1.2500038
1.5,1.500005331,1.499994075,1.5000042
1.75,1.750006089,1.749995353,1.7500056
2.0,2.000006715,1.999996308,2.0000059
2.25,2.250007326,2.249997483,2.2500075
2.5,2.500008733,2.499999068,2.5000091
2.75,2.750009388,2.750000361,2.7500097
3.0,3.000009985,3.000001345,3.0000101
3.25,3.250010684,3.250002329,3.2500116
3.5,3.500011487,3.500003402,3.5000124
3.75,3.750012024,3.750004401,3.7500125
4.0,4.00001262,4.000005722,4.0000134
4.25,4.250013673,4.250007073,4.2500143
4.5,4.500014299,4.500008087,4.5000151
4.75,4.750015264,4.750009218,4.7500161
5.0,5.00001586,5.000010202,5.0000173
5.25,5.250017473,5.250011846,5.2500185
5.5,5.500017907,5.500012523,5.5000191
5.75,5.750018607,5.750013522,5.7500204
6.0,6.000019144,6.000014653,6.0000211
6.25,6.250019962,6.250015784,6.250022
6.5,6.500020985,6.50001712,6.5000237
6.75,6.750021552,6.750018148,6.7500237
7.0,7.00002206,7.000019382,7.0000248
7.25,7.250022804,7.250020073,7.2500258
7.5,7.5000234,7.500021072,7.5000265
7.75,7.750024379,7.750022291,7.750028
8.0,8.000025771,8.000024082,8.0000292
8.25,8.250026603,8.250025022,8.2500301
8.5,8.500027303,8.500026138,8.5000307
8.75,8.750028032,8.750027196,8.7500319
9.0,9.000029173,9.000028268,9.0000324
9.25,9.250029976,9.250029297,9.2500344
9.5,9.500030763,9.500030457,9.5000344
9.75,9.750031168,9.750031456,9.7500356
10.0,10.00003194,10.00003265,10.0000365
10.25,10.25003263,10.25003389,10.2500371
