vref,3458B_volt,3458F_volt
-10.0,-10.00009347,-10.00001176
-9.5,-9.500089921,-9.5000109
-9.0,-9.000086163,-9.000010483
-8.5,-8.500082595,-8.500010364
-8.0,-8.000078705,-8.000009412
-7.5,-7.500074698,-7.500008996
-7.0,-7.000070954,-7.000008371
-6.5,-6.500067709,-6.500008386
-6.0,-6.000063247,-6.000008088
-5.5,-5.500059533,-5.500007686
-5.0,-5.000055408,-5.00000669
-4.5,-4.500051621,-4.500006719
-4.0,-4.000047951,-4.000006273
-3.5,-3.500044002,-3.500005604
-3.0,-3.000039745,-3.000005262
-2.5,-2.500035958,-2.500004875
-2.0,-2.000032302,-2.000004978
-1.5,-1.500028222,-1.500004116
-1.0,-1.000024156,-1.000003566
-0.5,-0.5000201338,-0.5000031198
0.0,-1.693271274e-05,-3.743007043e-06
0.5,0.4999879103,0.4999978915
1.0,0.999993369,1.000000046
1.5,1.499998989,1.50000226
2.0,2.000004521,2.000004087
2.5,2.500010038,2.500006375
3.0,3.000015248,3.00000795
3.5,3.500020721,3.500010209
4.0,4.000026635,4.000012645
4.5,4.500032313,4.500014577
5.0,5.000037831,5.000016612
5.5,5.50004348,5.500019034
6.0,6.000048734,6.000020817
6.5,6.50005472,6.500023298
7.0,7.000059959,7.000025081
7.5,7.500065579,7.500027607
8.0,8.000071477,8.000029598
8.5,8.500077039,8.50003196
9.0,9.000082366,9.000033743
9.5,9.500088206,9.500036328
10.0,10.00009372,10.0000385
