# INL run# wait_settle = 20# samples_per_meter_per_step = 1# NPLC = 317vref,3458A_volt,3458B_volt,F8508_volt
-10.25,-10.25002853,-10.25005954,-10.2500335
-10.0,-10.00002849,-10.00005858,-10.0000325
-9.75,-9.750028045,-9.750057962,-9.7500322
-9.5,-9.50002714,-9.500056992,-9.5000308
-9.25,-9.250026087,-9.250055774,-9.2500303
-9.0,-9.000025947,-9.000054511,-9.0000299
-8.75,-8.750024673,-8.7500536,-8.7500288
-8.5,-8.500024136,-8.500052644,-8.5000285
-8.25,-8.250023642,-8.250051411,-8.2500277
-8.0,-8.000022899,-8.000050427,-8.0000269
-7.75,-7.750021551,-7.750048636,-7.7500254
-7.5,-7.500021014,-7.50004771,-7.5000246
-7.25,-7.250020579,-7.250046858,-7.2500239
-7.0,-7.000019909,-7.000045771,-7.0000232
-6.75,-6.750019387,-6.750045094,-6.7500226
-6.5,-6.500018805,-6.500044154,-6.5000222
-6.25,-6.250017678,-6.250043081,-6.2500209
-6.0,-6.00001692,-6.000041936,-6.0000206
-5.75,-5.750016073,-5.750041039,-5.7500197
-5.5,-5.500015388,-5.500039835,-5.5000188
-5.25,-5.250014954,-5.250038983,-5.2500177
-5.0,-5.000013739,-5.000037089,-5.0000173
-4.75,-4.750012848,-4.750035856,-4.7500158
-4.5,-4.500012237,-4.500034754,-4.5000154
-4.25,-4.250011729,-4.250033638,-4.2500147
-4.0,-4.000011427,-4.000032419,-4.0000139
-3.75,-3.750010654,-3.750031434,-3.7500131
-3.5,-3.500009896,-3.500030465,-3.5000128
-3.25,-3.250009417,-3.25002948,-3.250012
-3.0,-3.000008821,-3.000028496,-3.0000103
-2.75,-2.750008225,-2.750027306,-2.7500098
-2.5,-2.500007378,-2.500026073,-2.50001
-2.25,-2.25000603,-2.250024223,-2.2500085
-2.0,-2.000005552,-2.000023092,-2.0000078
-1.75,-1.750004749,-1.7500218,-1.7500069
-1.5,-1.500004005,-1.500020728,-1.5000055
-1.25,-1.250003306,-1.250019861,-1.250005
-1.0,-1.000002724,-1.00001895,-1.0000048
-0.75,-0.7500017596,-0.7500175402,-0.7500033
-0.5,-0.500001178,-0.5000164826,-0.5000029
-0.25,-0.2500004785,-0.2500148678,-0.2500017
0.0,4.271834188e-07,-1.31357414e-05,-6e-07
0.25,0.2500014655,0.2499880685,0.2500006
0.5,0.5000024006,0.4999892875,0.500001
0.75,0.7500030264,0.7499903598,0.7500016
1.0,1.000003888,0.9999912416,1.0000033
1.25,1.250004484,1.249992534,1.2500041
1.5,1.500005125,1.499993665,1.5000047
1.75,1.750005721,1.74999481,1.7500062
2.0,2.000006332,1.999995927,2.0000062
2.25,2.25000687,2.24999697,2.2500066
2.5,2.500008276,2.499998746,2.5000085
2.75,2.750008843,2.750000038,2.7500091
3.0,3.000009484,3.000001052,3.00001
3.25,3.250010036,3.250002021,3.2500114
3.5,3.500010735,3.500002947,3.5000114
3.75,3.750011376,3.75000421,3.7500127
4.0,4.000012061,4.000005224,4.000014
4.25,4.250012642,4.250006399,4.2500144
4.5,4.500013209,4.500007471,4.5000162
4.75,4.75001413,4.750008675,4.7500167
5.0,5.000014962,5.00000988,5.000017
5.25,5.250015912,5.25001145,5.2500182
5.5,5.500016154,5.500012244,5.5000193
5.75,5.750017045,5.750013082,5.7500197
6.0,6.000017583,6.000014037,6.0000213
6.25,6.250018459,6.2500153,6.2500218
6.5,6.500019689,6.500016797,6.500023
6.75,6.750020801,6.750017914,6.7500241
7.0,7.000021117,7.000018649,7.0000241
7.25,7.250021434,7.250019413,7.2500257
7.5,7.500022325,7.500020691,7.5000259
7.75,7.750023054,7.750021866,7.750027
8.0,8.000023989,8.000023642,8.0000275
8.25,8.250024438,8.25002467,8.2500299
8.5,8.500025638,8.50002586,8.5000306
8.75,8.750026293,8.75002705,8.750031
9.0,9.000027052,9.000028122,9.0000319
9.25,9.250028061,9.250029531,9.2500338
9.5,9.500029055,9.500030237,9.5000345
9.75,9.750029769,9.750031266,9.7500336
10.0,10.0000306,10.00003234,10.0000355
10.25,10.25003102,10.2500334,10.2500362
